A0A024R0D3  B9EIQ5      P36800      Q5SPZ2      Q86YJ3      Q9BS69    
A0A024R0V2  B9EIQ6      P36801      Q5SPZ7      Q86YJ5      Q9BS70    
A0A024R7G0  B9EIQ7      P36802      Q5SPZ8      Q86YJ6      Q9BS72    
A0A024R7K3  B9EIQ8      P36803      Q5SPZ9      Q86YJ7      Q9BS73    
A0A024R986  B9EIQ9      P36804      Q5SQ00      Q86YJ9      Q9BS74    
A0A024RAH5  B9EIR5      P36805      Q5SQ02      Q86YK0      Q9BS76    
A0A024RC07  B9EIR6      P36806      Q5SQ03      Q86YK1      Q9BS77    
A0A024RD90  B9EIR7      P36807      Q5SQ04      Q86YK4      Q9BS78    
A0A059TD09  B9EIR8      P36808      Q5SQ07      Q86YK5      Q9BS80    
A0A060A9S4  B9EIR9      P36809      Q5SQ10      Q86YK6      Q9BS82    
A0A075B6S8  B9EIS1      P36810      Q5SQ13      Q86YK7      Q9BS86    
A0A075B6T0  B9EIS2      P36811      Q5SQ29      Q86YK8      Q9BS89    
A0A087WSX3  B9EJB0      P36812      Q5SQ30      Q86YK9      Q9BS90    
A0A087WTH1  B9EJB1      P36813      Q5SQ35      Q86YL0      Q9BS91    
A0A087WVF3  B9EJB2      P36814      Q5SQ36      Q86YL4      Q9BS92    
A0A087WXJ1  B9EJB3      P36815      Q5SQ37      Q86YL5      Q9BS93    
A0A087WXM9  B9EJB5      P36816      Q5SQ41      Q86YL6      Q9BS94    
A0A087WXP5  B9EJC2      P36817      Q5SQ49      Q86YL7      Q9BS95    
A0A087WXS9  B9EJC3      P36818      Q5SQ59      Q86YM1      Q9BS96    
A0A087WXW8  B9EJC4      P36819      Q5SQ62      Q86YM2      Q9BS97    
A0A087WY13  B9EJC7      P36820      Q5SQ64      Q86YM4      Q9BS98    
A0A087WZ52  B9EJD0      P36821      Q5SQ73      Q86YM5      Q9BSA1    
A0A087X179  B9EJD3      P36822      Q5SQ80      Q86YM7      Q9BSA3    
A0A087X1C5  B9EJD4      P36823      Q5SQ81      Q86YN1      Q9BSA4    
A0A087X1G2  B9EJD6      P36824      Q5SQ82      Q86YN2      Q9BSA5    
A0A087X2H5  B9EJD7      P36825      Q5SQ85      Q86YN3      Q9BSA6    
A0A096LPD0  B9EJD8      P36826      Q5SQ89      Q86YN4      Q9BSA7    
A0A096LPK4  B9EJD9      P36827      Q5SQ94      Q86YN5      Q9BSA8    
A0A0A8IBZ9  B9EJE1      P36828      Q5SQ96      Q86YN6      Q9BSA9    
A0A0A8K8P2  B9EJE2      P36829      Q5SQC9      Q86YN7      Q9BSB0    
A0A0B4J1Z3  B9EJE7      P36830      Q5SQD3      Q86YP3      Q9BSB1    
A0A183      B9EJF2      P36831      Q5SQD7      Q86YP4      Q9BSB3    
A0A184      B9EJF4      P36832      Q5SQD8      Q86YP5      Q9BSB4    
A0A1K6      B9EJG0      P36833      Q5SQG8      Q86YP6      Q9BSB5    
A0A1W3      B9EJG1      P36844      Q5SQG9      Q86YP7      Q9BSB6    
A0A2U6      B9EJG4      P36845      Q5SQH8      Q86YP8      Q9BSB7    
A0A2V7      B9EJG5      P36846      Q5SQI0      Q86YP9      Q9BSB8    
A0A4R6      B9EJG7      P36847      Q5SQI1      Q86YQ2      Q9BSB9    
A0A4Z0      B9EJG8      P36848      Q5SQI3      Q86YQ3      Q9BSC1    
A0A4Z5      B9EJH3      P36849      Q5SQI4      Q86YQ6      Q9BSC3    
A0A5A7      B9EJH7      P36850      Q5SQI8      Q86YQ8      Q9BSC4    
A0A5B8      B9EJH9      P36851      Q5SQI9      Q86YQ9      Q9BSC5    
A0A5B9      B9EK35      P36852      Q5SQJ2      Q86YR1      Q9BSC6    
A0A962      B9EK36      P36853      Q5SQL2      Q86YR3      Q9BSC7    
A0A963      B9EK38      P36854      Q5SQL4      Q86YR4      Q9BSC8    
A0A9C3      B9EK40      P36855      Q5SQL5      Q86YR5      Q9BSC9    
A0A9F3      B9EK49      P36871      Q5SQL6      Q86YR6      Q9BSD1    
A0AED4      B9EK50      P36873      Q5SQM4      Q86YR7      Q9BSD3    
A0AR28      B9EK52      P36888      Q5SQM5      Q86YR8      Q9BSD5    
A0AUJ8      B9EK53      P36894      Q5SQM6      Q86YR9      Q9BSD7    
A0AUJ9      B9EK58      P36896      Q5SQN1      Q86YS0      Q9BSD9    
A0AUL8      B9EK59      P36897      Q5SQN6      Q86YS1      Q9BSE2    
A0AUM4      B9EK60      P36915      Q5SQP6      Q86YS3      Q9BSE4    
A0AUV5      B9EK62      P36941      Q5SQP7      Q86YS4      Q9BSE5    
A0AUV6      B9EK63      P36952      Q5SQQ3      Q86YS5      Q9BSE6    
A0AUV9      B9EK64      P36954      Q5SQQ5      Q86YS6      Q9BSE9    
A0AUW1      B9EK71      P36955      Q5SQQ8      Q86YS7      Q9BSF0    
A0AUW3      B9EK72      P36956      Q5SQQ9      Q86YS8      Q9BSF4    
A0AUW7      B9EKU8      P36957      Q5SQR9      Q86YT0      Q9BSF5    
A0AUW8      B9EKV2      P36959      Q5SQS3      Q86YT1      Q9BSF6    
A0AUW9      B9EKV6      P36969      Q5SQS5      Q86YT2      Q9BSF8    
A0AUX0      B9EKV7      P36974      Q5SQS7      Q86YT3      Q9BSG0    
A0AUX7      B9EKV8      P36980      Q5SQS8      Q86YT4      Q9BSG1    
A0AUX8      B9EKV9      P37023      Q5SQT2      Q86YT5      Q9BSG4    
A0AUX9      B9EKW1      P37058      Q5SQT4      Q86YT6      Q9BSG5    
A0AUY1      B9EKW2      P37059      Q5SQT7      Q86YT7      Q9BSG6    
A0AUY2      B9TX30      P37088      Q5SQU1      Q86YT8      Q9BSG7    
A0AUY4      B9TX55      P37108      Q5SQU4      Q86YT9      Q9BSG8    
A0AUY8      B9UKH4      P37140      Q5SQU5      Q86YU0      Q9BSG9    
A0AUZ2      B9UN80      P37173      Q5SQW1      Q86YU1      Q9BSH0    
A0AUZ3      B9V432      P37198      Q5SQW2      Q86YU3      Q9BSH1    
A0AUZ9      B9VI81      P37231      Q5SQX9      Q86YU4      Q9BSH3    
A0AV00      B9VJ63      P37235      Q5SQZ3      Q86YU7      Q9BSH4    
A0AV01      B9VQC9      P37243      Q5SQZ4      Q86YU8      Q9BSH5    
A0AV02      B9VQD2      P37268      Q5SQZ8      Q86YV0      Q9BSH6    
A0AV07      B9VQD5      P37275      Q5SQZ9      Q86YV4      Q9BSH7    
A0AV09      B9VQD6      P37286      Q5SR00      Q86YV5      Q9BSH8    
A0AV10      B9VQD7      P37287      Q5SR04      Q86YV6      Q9BSI1    
A0AV13      B9VQD8      P37288      Q5SR06      Q86YV8      Q9BSI2    
A0AV15      B9VQE0      P37318      Q5SR08      Q86YV9      Q9BSI4    
A0AV16      B9VQE1      P37319      Q5SR10      Q86YW0      Q9BSI5    
A0AV17      B9VQE8      P37802      Q5SR11      Q86YW2      Q9BSI6    
A0AV19      B9VQE9      P37837      Q5SR15      Q86YW3      Q9BSI7    
A0AV22      B9VQF1      P37840      Q5SR16      Q86YW4      Q9BSI8    
A0AV25      B9VQF5      P37888      Q5SR20      Q86YW5      Q9BSI9    
A0AV26      B9VQF7      P38117      Q5SR22      Q86YW6      Q9BSJ0    
A0AV27      B9VQF8      P38159      Q5SR24      Q86YW7      Q9BSJ1    
A0AV29      B9VQG4      P38378      Q5SR25      Q86YW8      Q9BSJ2    
A0AV30      B9VQG7      P38384      Q5SR37      Q86YW9      Q9BSJ3    
A0AV31      B9VQG8      P38390      Q5SR43      Q86YX0      Q9BSJ4    
A0AV33      B9VQH0      P38391      Q5SR45      Q86YX1      Q9BSJ5    
A0AV35      B9VQH1      P38398      Q5SR46      Q86YX4      Q9BSJ6    
A0AV37      B9VQH4      P38405      Q5SR48      Q86YX5      Q9BSJ7    
A0AV38      B9VQH6      P38432      Q5SR49      Q86YX7      Q9BSJ8    
A0AV39      B9VQH7      P38435      Q5SR52      Q86YX9      Q9BSJ9    
A0AV42      B9VQH8      P38484      Q5SR53      Q86YY0      Q9BSK0    
A0AV43      B9VQI1      P38567      Q5SR56      Q86YY3      Q9BSK1    
A0AV46      B9VQI2      P38570      Q5SR58      Q86YY4      Q9BSK2    
A0AV48      B9VQI3      P38571      Q5SR59      Q86YY5      Q9BSK4    
A0AV49      B9VQI4      P38606      Q5SR60      Q86YY6      Q9BSK5    
A0AV50      B9VQJ6      P38646      Q5SR61      Q86YY7      Q9BSK6    
A0AV51      B9VQK0      P38663      Q5SR62      Q86YY8      Q9BSK7    
A0AV52      B9VQK1      P38919      Q5SR63      Q86YY9      Q9BSK8    
A0AV55      B9VQK2      P38935      Q5SR64      Q86YZ0      Q9BSL1    
A0AV56      B9VQK3      P38936      Q5SR68      Q86YZ1      Q9BSL2    
A0AV63      B9VQK4      P39019      Q5SR69      Q86YZ2      Q9BSL3    
A0AV65      B9VRA4      P39023      Q5SR70      Q86YZ3      Q9BSL7    
A0AV67      B9VWG8      P39024      Q5SR71      Q86YZ6      Q9BSL8    
A0AV68      B9VXD7      P39025      Q5SR76      Q86YZ7      Q9BSL9    
A0AV69      B9VXI8      P39026      Q5SR77      Q86YZ9      Q9BSM0    
A0AV72      B9VXK4      P39027      Q5SR91      Q86Z00      Q9BSM1    
A0AV76      B9VXM8      P39028      Q5SRA5      Q86Z01      Q9BSM2    
A0AV77      B9VXQ2      P39029      Q5SRA6      Q86Z02      Q9BSM6    
A0AV79      B9W5S8      P39030      Q5SRD0      Q86Z03      Q9BSM9    
A0AV80      B9W6F7      P39031      Q5SRD1      Q86Z04      Q9BSN0    
A0AV81      B9W6F9      P39033      Q5SRD2      Q86Z05      Q9BSN6    
A0AV82      B9WRT4      P39059      Q5SRD3      Q86Z06      Q9BSN7    
A0AV84      B9WRT5      P39060      Q5SRE5      Q86Z08      Q9BSN8    
A0AV85      B9WRT6      P39086      Q5SRE6      Q86Z11      Q9BSN9    
A0AV89      B9WS54      P39210      Q5SRE7      Q86Z12      Q9BSP1    
A0AV90      B9X074      P39656      Q5SRE9      Q86Z14      Q9BSP2    
A0AV93      B9X248      P39687      Q5SRF0      Q86Z15      Q9BSP3    
A0AV96      B9ZVD2      P39748      Q5SRH4      Q86Z16      Q9BSP5    
A0AV97      B9ZVK6      P39877      Q5SRH5      Q86Z17      Q9BSP8    
A0AVA2      B9ZVM1      P39880      Q5SRH6      Q86Z18      Q9BSQ0    
A0AVA3      B9ZVM2      P39900      Q5SRH7      Q86Z19      Q9BSQ2    
A0AVA4      B9ZVM5      P39905      Q5SRH8      Q86Z20      Q9BSQ4    
A0AVA6      B9ZVM9      P40121      Q5SRH9      Q86Z21      Q9BSQ5    
A0AVA8      B9ZVN0      P40123      Q5SRI0      Q86Z23      Q9BSQ7    
A0AVA9      B9ZVN2      P40126      Q5SRI1      Q86Z24      Q9BSQ9    
A0AVB2      B9ZVP2      P40145      Q5SRI2      Q86Z25      Q9BSR0    
A0AVB4      B9ZVP4      P40189      Q5SRI8      Q86Z26      Q9BSR1    
A0AVB6      B9ZVP5      P40197      Q5SRI9      Q86Z27      Q9BSR2    
A0AVB7      B9ZVQ0      P40198      Q5SRJ0      Q86Z28      Q9BSR3    
A0AVC2      B9ZVQ5      P40199      Q5SRJ2      Q86Z29      Q9BSR5    
A0AVC3      B9ZVQ9      P40200      Q5SRJ3      Q86Z31      Q9BSR8    
A0AVC4      B9ZVR0      P40205      Q5SRJ5      Q89066      Q9BSR9    
A0AVC5      B9ZVS2      P40222      Q5SRJ6      Q89098      Q9BSS0    
A0AVD0      B9ZVS7      P40225      Q5SRJ7      Q89118      Q9BSS2    
A0AVD3      B9ZVT0      P40227      Q5SRJ8      Q89165      Q9BSS3    
A0AVD6      B9ZVU5      P40238      Q5SRJ9      Q89168      Q9BSS5    
A0AVD8      B9ZVW0      P40259      Q5SRK1      Q89178      Q9BSS6    
A0AVE1      B9ZVW1      P40261      Q5SRK8      Q89183      Q9BSS7    
A0AVE2      B9ZVW5      P40305      Q5SRL2      Q89186      Q9BST0    
A0AVE3      B9ZVX2      P40306      Q5SRN0      Q89187      Q9BST1    
A0AVE4      B9ZVX3      P40313      Q5SRN2      Q89208      Q9BST2    
A0AVE9      B9ZVY2      P40337      Q5SRN3      Q89209      Q9BST6    
A0AVF1      B9ZZP9      P40394      Q5SRP4      Q89423      Q9BST9    
A0AVF2      B9ZZQ0      P40424      Q5SRP8      Q89428      Q9BSU0    
A0AVF6      C0H3P7      P40425      Q5SRP9      Q89432      Q9BSU1    
A0AVF9      C0H5W8      P40426      Q5SRR1      Q89441      Q9BSU2    
A0AVG1      C0H5W9      P40429      Q5SRR2      Q89485      Q9BSU3    
A0AVG2      C0H5X3      P40616      Q5SRR4      Q89489      Q9BSU4    
A0AVG4      C0H5X5      P40617      Q5SRS8      Q89532      Q9BSU5    
A0AVG5      C0H5X6      P40692      Q5SRW3      Q89544      Q9BSU6    
A0AVG8      C0H5Y3      P40763      Q5SRW4      Q89565      Q9BSU7    
A0AVG9      C0H5Y7      P40818      Q5SS28      Q89584      Q9BSU8    
