Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Pubmed IDs	CCDS IDs	UniProt ID(supplied by UniProt)
A1BG	alpha-1-B glycoprotein				2591067	CCDS12976	P04217
A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569				
A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF		11815617, 11072063	CCDS7241, CCDS7242, CCDS7243, CCDS73133	Q9NQ94
A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5		2408344, 9697696	CCDS44827	P01023
A2M-AS1	A2M antisense RNA 1 (head to head)						
A2ML1	alpha-2-macroglobulin-like 1	CPAMD9	FLJ25179		16298998	CCDS8596, CCDS73439	A8K2U0
A2ML1-AS1	A2ML1 antisense RNA 1						
A2ML1-AS2	A2ML1 antisense RNA 2						
A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP			2478422		
A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S	"iGb3 synthase", "isoglobotriaosylceramide synthase"	10854427, 18630988	CCDS60080	
A4GALT	alpha 1,4-galactosyltransferase		A14GALT, Gb3S, P(k)	"Gb3 synthase", "CD77 synthase", "globotriaosylceramide synthase", "lactosylceramide 4-alpha-galactosyltransferase"	10854428	CCDS14041	Q9NPC4
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT		10430883	CCDS3097	Q9UNA3
AAAS	achalasia, adrenocortical insufficiency, alacrimia			"aladin", "Allgrove, triple-A", "adracalin"	11062474	CCDS8856, CCDS53797	Q9NRG9
AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1	"acyl-CoA synthetase family member 1"	12623130, 17762044	CCDS9263	Q86V21
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL					
AADAC	arylacetamide deacetylase		DAC, CES5A1		8063807	CCDS33877	P22760
AADACL2	arylacetamide deacetylase-like 2		MGC72001		25715734	CCDS3161	Q6P093
AADACL2-AS1	AADACL2 antisense RNA 1						
AADACL3	arylacetamide deacetylase-like 3		OTTHUMG00000001887			CCDS41253, CCDS41253	Q5VUY0
AADACL4	arylacetamide deacetylase-like 4		OTTHUMG00000001889			CCDS30590	Q5VUY2
AADACP1	arylacetamide deacetylase pseudogene 1						
AADAT	aminoadipate aminotransferase		KATII, KAT2	"kynurenine aminotransferase II", "L kynurenine/alpha aminoadipate aminotransferase"	12126930, 10441733, 18056995	CCDS3814, CCDS75209	Q8N5Z0
AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21				CCDS35073	Q7RTV5
AAGAB	alpha- and gamma-adaptin binding protein		FLJ11506, p34		11230166, 10477754	CCDS42050, CCDS61679	Q6PD74
AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132		11877461, 12471243	CCDS1893	Q2M2I8
AAMDC	adipogenesis associated, Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067		12477932	CCDS8254	Q9H7C9
AAMP	angio-associated, migratory cell protein				7743515	CCDS33378, CCDS77530	Q13685
AANAT	aralkylamine N-acetyltransferase		SNAT	"serotonin N-acetyltransferase"	8661026	CCDS11745, CCDS54169	Q16613
